internship_title,company_name,location,start_date,duration,stipend,Skills,Interests
Python And Java Machine Learning (OpenAI GPT),Arakoo.ai,Work From Home,Immediately,6 Months,"₹ 10,000 /month",UI/UX Design,Quantum Computing
Video Making/Editing,Marketing Moves,Work From Home,Immediately,6 Months,"₹ 10,000 /month",Data Analysis,Game Development
Business Development Intern (IT Sales),Amit  Khandekar,Pune,Immediately,6 Months,"₹ 10,000 /month",Data Analysis,IoT
Business Development (Sales),Innovation Consultants,Work From Home,Immediately,6 Months,"₹ 4,000 /month",Networking,Game Development
Social Media Marketing,Tanay Hargunaney,Taleigao,Immediately,6 Months,"₹ 2,000-10,000 /month",Cloud Computing,Game Development
Human Resources (HR),Sparsa Digital Private Limited,Gurgaon,Immediately,6 Months,"₹ 5,000-10,000 /month",UI/UX Design,Blockchain
Operations,GeoSustain Association,Work From Home,Immediately,6 Months,Unpaid,Networking,Augmented Reality
Website or WordPress Development,Point Blank Range Pvt Ltd,Delhi,Immediately,6 Months,"₹ 2,000-5,000 /month",C++,Space Tech
Child Psychology,Starlit Ability Enhancement Services Private Limited,Pune,Immediately,6 Months,"₹ 6,000-10,000 /month",Cybersecurity,Cybersecurity
Media & Public Relations (PR),De Chevalerie En Rouge,Delhi,Not specified,6 Months,"₹ 7,000-12,000 /month",Java,IoT
Social Media Marketing,Bodii,Work From Home,Immediately,6 Months,"₹ 3,000 /month",Networking,Game Development
Digital Marketing,Aranya Aura Private Limited,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Web Development,Augmented Reality
Company Secretary (CS),A&Y Associates,Mumbai,Immediately,6 Months,"₹ 5,000-15,000 /month",Cybersecurity,Cybersecurity
Social Media Management,Kainaz Daver,Work From Home,Immediately,6 Months,"₹ 7,000 /month",Networking,AI
Photography,Arts Shala,Delhi,Immediately,6 Months,"₹ 4,000 /month +  Incentives",Java,Blockchain
Business Development (Sales),Maa Jagdama Ventures (PrintF),Bangalore,Immediately,6 Months,"₹ 15,000 /month",Cloud Computing,Space Tech
Digital Marketing,The Square Prints,Work From Home,Immediately,6 Months,"₹ 2,000-15,000 /month",Python,Quantum Computing
Digital Marketing,Flashy Panels,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Java,Quantum Computing
Social Media Marketing & Lead Generation,Right Digital Service,Work From Home,Immediately,6 Months,"₹ 5,000-8,000 /month",Embedded Systems,Space Tech
Video Creation,Top Talent Bridge,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Cybersecurity,Open Source
Business Development (Sales),Dixit Global Tech IT Solutions Private Limited,Bangalore,Immediately,6 Months,"₹ 2,000 /month +  Incentives",Cloud Computing,AI
Digital Marketing,DigiKind Co. (DKC),Work From Home,Immediately,6 Months,"₹ 3,000 /month",Web Development,Space Tech
Script Review,Quizzy,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Database Management,Augmented Reality
Webflow Design,BuildSuite,Work From Home,Immediately,6 Months,"₹ 5,000 /month",UI/UX Design,Open Source
Founder's Office,Growth4x,Work From Home,Immediately,6 Months,"₹ 1,500 /month +  Incentives",Networking,Game Development
Business Development,Gyansthan Education Services LLP,Mumbai,Immediately,6 Months,"₹ 3,000 /month +  Incentives",Java,Quantum Computing
UX/UI Design,D'Skin Lab,Work From Home,Immediately,6 Months,"₹ 5,000-10,000 /month",Database Management,Open Source
Business Development (Sales),Technest Learning,Work From Home,Immediately,6 Months,"₹ 4,000 /month",Embedded Systems,Open Source
Film And Video Editing,Stirring Minds,Delhi,Immediately,6 Months,"₹ 6,000-12,000 /month",C++,Web 3.0
Chemistry/Statistics - Subject Matter Expert,CloudBird Digital Private Limited,Work From Home,Immediately,6 Months,"₹ 6,000 /month",Cybersecurity,Blockchain
Content Writing,Househat,Pune,Immediately,6 Months,"₹ 8,000 /month",UI/UX Design,Robotics
International Business Development,Stirring Minds,Work From Home,Immediately,6 Months,"₹ 1,000-3,000 /month",Networking,Robotics
Facebook Ad Management,Stirring Minds,Delhi,Immediately,6 Months,"₹ 6,000-8,000 /month",Web Development,AI
Search Engine Optimization (SEO),Adroitent Incorporation,Work From Home,Immediately,6 Months,"₹ 10,000 /month",Embedded Systems,Web 3.0
Business Development (Sales),PNT Academy,Ambernath,Immediately,6 Months,"₹ 5,000-10,000 /month",Database Management,Space Tech
Marketing,Ritikaa Enterprises Private Limited,Mumbai,Not specified,6 Months,"₹ 10,000 /month",Machine Learning,IoT
Administration And Operations,ASMI Not-For-Profit,Gurgaon,Immediately,6 Months,"₹ 1,000-4,000 /month",Machine Learning,Quantum Computing
Electrical Engineering,Elecnovo Private Limited,Bangalore,Immediately,6 Months,"₹ 8,000-10,000 /month",UI/UX Design,Open Source
Digital Marketing,FX Retina,Lucknow,Immediately,6 Months,"₹ 4,000-8,000 /month",UI/UX Design,AI
Food Science,Cosy Farms,Mumbai,Immediately,6 Months,"₹ 4,000-8,000 /month",Data Analysis,AI
Supply Chain Management (SCM),PickYourTrail,Chennai,Immediately,6 Months,"₹ 8,000 /month",Java,Robotics
Algorithm Development,CogniFirst Technologies,Bangalore,Immediately,6 Months,"₹ 20,000 /month",Cloud Computing,Quantum Computing
Web And Mobile App Development,MXPERTZ,Indore,Immediately,6 Months,"₹ 2,000 /month",Embedded Systems,Augmented Reality
Business Development (Sales),Creative Ally,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Embedded Systems,AI
Office Admin,Househat,Pune,Immediately,6 Months,"₹ 7,000 /month",UI/UX Design,Augmented Reality
Multimedia Production,Stirring Minds,Delhi,Immediately,6 Months,"₹ 5,000-11,000 /month",Machine Learning,Open Source
Online Reputation Management,Stirring Minds,Work From Home,Immediately,6 Months,"₹ 4,000-8,000 /month",Python,Blockchain
Product Development And Procurement,Good Roots Kitchenware Private Limited,Chennai,Immediately,6 Months,"₹ 10,000 /month",Cybersecurity,Robotics
Customer Care,Stirring Minds,Delhi,Immediately,6 Months,"₹ 10,000-12,000 /month",UI/UX Design,Space Tech
Telecalling,Stirring Minds,Delhi,Immediately,6 Months,"₹ 15,000-18,000 /month",Cybersecurity,AI
Media And Public Relations (PR),Stirring Minds,Delhi,Immediately,6 Months,"₹ 7,000-10,000 /month",C++,Quantum Computing
Digital Marketing,Wizrdom,Bangalore,Immediately,6 Months,"₹ 5,000-7,000 /month",Cybersecurity,Quantum Computing
Business Development (Sales),NOIR & BLANCO,Work From Home,Immediately,6 Months,"₹ 6,000 /month",UI/UX Design,Quantum Computing
Trial Booking Pre-Sales,Purple Tutor,Work From Home,Immediately,6 Months,"₹ 5,000-10,000 /month",Java,Data Science
Customer Support,Stirring Minds,Delhi,Immediately,6 Months,"₹ 6,000-12,000 /month",Data Analysis,Augmented Reality
Full Stack Development,Stirring Minds,Delhi,Immediately,6 Months,"₹ 8,000-10,000 /month",Python,Open Source
Film And Video Editing,Stirring Minds,Delhi,Immediately,6 Months,"₹ 6,000-12,000 /month",UI/UX Design,Blockchain
Sales Coordination,Stirring Minds,Delhi,Immediately,6 Months,"₹ 6,000-12,000 /month",Cloud Computing,Robotics
Social Media Marketing,Stirring Minds,Work From Home,Immediately,6 Months,"₹ 5,000-12,000 /month",Embedded Systems,IoT
Customer Support,CookandChef India Private Limited,Work From Home,Immediately,6 Months,"₹ 10,000 /month",Java,Cybersecurity
AWS DevOps Engineer,Triluxo Technologies Private Limited,Work From Home,Immediately,6 Months,"₹ 1,000-2,000 /month",Networking,Open Source
Content Writing,Dream Jobs Solutions,Work From Home,Immediately,6 Months,"₹ 3,000 /month +  Incentives",Data Analysis,IoT
Lead Generation,Top Talent Bridge,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Machine Learning,Web 3.0
Web Development,U4IC Life,Noida,Immediately,6 Months,"₹ 2,000-10,000 /month",Embedded Systems,IoT
Subject Matter Expert (SME),Credque,Bangalore,Immediately,6 Months,"₹ 10,000 /month",Cloud Computing,Web 3.0
Digital Marketing,Pranav Indulkar,Work From Home,Immediately,6 Months,"₹ 1,000 /month",Embedded Systems,Augmented Reality
Web Development,Affiliated Recruiters,Coimbatore,Immediately,6 Months,"₹ 3,000 /month",Cybersecurity,Quantum Computing
Frontend Development,Faclon,Work From Home,Immediately,6 Months,"₹ 8,000-12,000 /month",Embedded Systems,Robotics
YouTube Content Creation,PrimeFlamingo,Work From Home,Immediately,6 Months,"₹ 1,000 /month",Networking,Robotics
Human Resources (HR),Stirring Minds,Work From Home,Immediately,6 Months,"₹ 1,000-3,000 /month",Embedded Systems,Game Development
Design & Portfolio Management,Sutra Luminis,Noida,Immediately,6 Months,"₹ 15,000 /month",Database Management,Cybersecurity
"Web Development (HTML, CSS)",Stirring Minds,Delhi,Immediately,6 Months,"₹ 7,000-8,000 /month",Machine Learning,Game Development
Deals Management,Legacy Growth Partners LLP,Delhi,Immediately,6 Months,"₹ 4,000-6,000 /month",Embedded Systems,Game Development
E-commerce Associate,Axe Consultancy And Security Services LLC,Work From Home,Immediately,6 Months,"₹ 3,000-5,000 /month",Data Analysis,Blockchain
Digital Marketing,Raunak Doshi,Kolkata,Immediately,6 Months,"₹ 5,000-10,000 /month",Database Management,Space Tech
Business Development (Sales),Accsus Management,Ahmedabad,Immediately,6 Months,"₹ 7,500-12,000 /month",Data Analysis,IoT
WordPress Development,Stirring Minds,Delhi,Immediately,6 Months,"₹ 7,000-10,000 /month",Networking,Space Tech
Entrepreneurship,Stirring Minds,Work From Home,Immediately,6 Months,"₹ 10,000-20,000 /month",Networking,Space Tech
Data Analytics,Stirring Minds,Delhi,Immediately,6 Months,"₹ 7,000-10,000 /month",Machine Learning,Game Development
Financial Analyst,Trade Brains,Bangalore,Immediately,6 Months,"₹ 12,000 /month",Machine Learning,Open Source
Social Media Marketing,Black Key Tunes LLP,Mumbai,Immediately,6 Months,"₹ 5,000 /month",Web Development,Quantum Computing
Video Editing,Sossal,Kolkata,Immediately,6 Months,"₹ 5,000-9,000 /month",Cloud Computing,Web 3.0
Graphic Design,Jordiax Digital,Work From Home,Immediately,6 Months,"₹ 1,000 /month",Java,Web 3.0
Sales And Marketing,SuperK,Mumbai,Immediately,6 Months,"₹ 5,000 /month +  Incentives",Machine Learning,IoT
Anchoring,Stars N Celebs,Work From Home,Immediately,6 Months,"₹ 1,000 lump sum",Embedded Systems,Game Development
Accounting & Tally,Gandhi Institute For Education And Technology,Bhubaneswar,Immediately,6 Months,"₹ 3,000 /month",UI/UX Design,Robotics
Business Development (Sales),Littup,Work From Home,Immediately,6 Months,"₹ 5,000 /month",C++,Open Source
Marketing,Rajmani Ventures,Bangalore,Immediately,6 Months,"₹ 5,000 /month",Networking,AI
Python Development,Jewels Infotech,Jaipur,Immediately,6 Months,"₹ 5,000-12,000 /month",Data Analysis,AI
Video Making/Editing,Kaif Mohamemd,Work From Home,Immediately,6 Months,"₹ 3,000 /month",Python,IoT
Sales Consultant,My Next Film Private Limited,Chennai,Immediately,6 Months,"₹ 2,000 /month +  Incentives",Python,IoT
Customer Success,HappiMynd,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Cloud Computing,Blockchain
Robot Design & Construction,RoboFun Lab Private Limited,Surat,Immediately,6 Months,"₹ 10,000 /month",C++,AI
Digital Marketing,Grail Maker Innovations,Hyderabad,Immediately,6 Months,"₹ 7,000 /month +  Incentives",Java,Open Source
Swift Development,Sinplay Private Limited,Work From Home,Immediately,6 Months,"₹ 20,000 /month",Data Analysis,Quantum Computing
Social Media Marketing,Ampleline,Jaipur,Immediately,6 Months,"₹ 8,000-15,000 /month",Database Management,Game Development
Social Media Marketing,HAGG Mill Store Private Limited,Noida,Immediately,6 Months,"₹ 5,000 /month",Cybersecurity,Open Source
Digital Marketing,Big Guy Business Consulting Inc,Work From Home,Immediately,6 Months,"₹ 10,000 /month",Data Analysis,Blockchain
Mobile App Development,Reubro International,Kochi,Immediately,6 Months,"₹ 8,000 /month",Java,AI
Human Resources (HR),Rankson Incorporation,Pitampura,Immediately,6 Months,"₹ 7,000 /month",Java,Cybersecurity
Digital Marketing,Xpert,Kolkata,Immediately,6 Months,"₹ 20,000 /month",Java,Cybersecurity
Law/Legal,Consumers Congress,Delhi,Immediately,6 Months,"₹ 1,500-5,000 /month",Python,IoT
Research,Jarvis Technology & Strategy Consulting,Delhi,Immediately,6 Months,"₹ 20,000 /month",Cloud Computing,Augmented Reality
Video Making/Editing,Sudha Reddy,Work From Home,Immediately,6 Months,"₹ 5,000-15,000 /month",Java,Quantum Computing
Content Management,Patientlyours.,Work From Home,Immediately,6 Months,"₹ 3,000 lump sum",UI/UX Design,Open Source
Human Resources (HR),People Konnect Private Limited,Mumbai,Immediately,6 Months,"₹ 10,000 /month",Java,Data Science
Marketing,Datsme,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Database Management,Data Science
Facebook Marketing,iWebbies Web Solution Private Limited,Noida,Immediately,6 Months,"₹ 12,000 /month",Python,Game Development
Quality Analysis & Quality Control,Solitaire Drugs And Pharma Private Limited (Food And Beverage Division),Kashipur,Immediately,3 Months,"₹ 2,000-5,000 /month",Embedded Systems,Quantum Computing
Digital Marketing,Ken Research,Gurgaon,Immediately,3 Months,"₹ 15,000 /month",Cloud Computing,Web 3.0
IT Recruitment,Wroots Global Private Limited,Bangalore,Immediately,3 Months,"₹ 8,000 /month",Machine Learning,Quantum Computing
Content Writing & Reviewing,ShortHills Tech Private Limited,Gurgaon,Immediately,3 Months,"₹ 10,000 /month",C++,Web 3.0
Social Media Marketing,ThinkMerit,Work From Home,Immediately,3 Months,"₹ 2,000-5,000 /month",Python,Web 3.0
Core PHP & Laravel Development,Flair Insights,Work From Home,Immediately,3 Months,"₹ 2,000-3,000 /month",Machine Learning,Data Science
Web Development,"Bomb Consultancy (London, United Kingdom)",Work From Home,Immediately,3 Months,"₹ 5,000 /month",Networking,Blockchain
Mathematics Content Development,Lawtech,Work From Home,Immediately,3 Months,"₹ 8,000-10,000 /month",Cloud Computing,Cybersecurity
Academic Counseling (Telecalling),Lawtech,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Networking,IoT
Email Marketing,Lawtech,Work From Home,Immediately,3 Months,"₹ 5,000-7,000 /month",Java,Robotics
PHP/Zoho Development,InsightCrew,Chandigarh,Immediately,3 Months,"₹ 6,000 /month",Data Analysis,IoT
Social Media Marketing,INFINITIO TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Machine Learning,Augmented Reality
Fintech Java Dev,"Alphamolly (London, United Kingdom)",Work From Home,Immediately,3 Months,£ 50 /month,Cybersecurity,Open Source
Office Assistance (Travel Firm),Fiers Energy & Infrastructure Consultancy & Services Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Networking,Open Source
Graphic Design (iPad Art),Lawtech,Work From Home,Immediately,3 Months,"₹ 8,000-10,000 /month",Networking,Open Source
Subject Matter Expert (SME) (English),GEMA Education Technology Private Limited,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Machine Learning,Quantum Computing
Video Editing,Tent N' Trails,Work From Home,Immediately,3 Months,"₹ 5,000-7,500 /month",Java,Blockchain
AI Psychology,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Embedded Systems,Open Source
Product Management,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month",UI/UX Design,Blockchain
Business Analytics,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Networking,Web 3.0
Business Innovation,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Embedded Systems,Augmented Reality
Social Media Management & Content Writing,Swagsta,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Data Analysis,Blockchain
C++ Developer,"Akhilesh Gogikar (Houston, United States)",Work From Home,Immediately,3 Months,"₹ 10,000 /month",Machine Learning,Robotics
Business Development (Sales),Agnihotri Securities Ltd,Work From Home,Immediately,3 Months,"₹ 4,500 /month +  Incentives",Networking,Cybersecurity
Software Development,"Fylo (New York, United States)",Work From Home,Immediately,3 Months,"₹ 15,000 /month",Cybersecurity,Augmented Reality
Architecture,Anupam Kumar Architects,Varanasi,Immediately,3 Months,"₹ 10,000 /month",Cloud Computing,Web 3.0
Operations Management,CipherSchools,Chandigarh,Immediately,3 Months,"₹ 10,000-15,000 /month",Cybersecurity,Web 3.0
Business Development (Sales),Quizzy,Work From Home,Immediately,3 Months,"₹ 15,000 /month",Python,Space Tech
Content Writing (eSports),FirstSportz,Work From Home,Immediately,3 Months,"₹ 6,000 /month",Cybersecurity,Data Science
Blogging,Addictive Media,Work From Home,Immediately,3 Months,"₹ 5,000-8,000 /month",Cybersecurity,Space Tech
Optoelectronics,Sensorama Technologies LLP,Mumbai,Immediately,3 Months,"₹ 5,000-20,000 /month",Web Development,Web 3.0
"Trainer - HTML, CSS, JS, Bootstrap",Simple Enterprises,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Cloud Computing,AI
Stock Market Research,Trading Shalaa,Work From Home,Immediately,3 Months,"₹ 5,000-10,000 /month",Python,Open Source
Cosmetology SME,Guidofie,Work From Home,Immediately,3 Months,"₹ 10,000 /month +  Incentives",UI/UX Design,Augmented Reality
News Reporting,Blackcoffer,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Networking,Space Tech
Digital Marketing,Blackcoffer,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Embedded Systems,Cybersecurity
Teaching Robotics,GEMA Education Technology Private Limited,Work From Home,Immediately,3 Months,"₹ 1,000 /month",C++,Game Development
Social Media & Business Development,Physiques By Vinay,Work From Home,Immediately,3 Months,"₹ 2,000-4,000 /month",C++,AI
SEO And Website Optimization,Blackcoffer,Work From Home,Immediately,3 Months,"₹ 6,000 /month",Data Analysis,Data Science
Ghost Writing,Breakout,Work From Home,Immediately,3 Months,"₹ 10,000 lump sum",C++,Open Source
Information Technology,AntWalk,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month",Networking,Space Tech
Content Writing,Rydeu Logistics UG,Work From Home,Immediately,6 Months,"₹ 6,000-8,000 /month",C++,Cybersecurity
AWS DevOps Engineering,Rydeu Logistics UG,Work From Home,Immediately,6 Months,"₹ 15,000-20,000 /month",Database Management,Web 3.0
Node.js Development (Backend),Rydeu Logistics UG,Work From Home,Immediately,6 Months,"₹ 12,000-15,000 /month",Python,Web 3.0
Operations,Rydeu Logistics UG,Work From Home,Immediately,6 Months,"₹ 10,000-12,000 /month",Networking,Cybersecurity
Logistics And Operations,Rydeu Logistics UG,Work From Home,Immediately,6 Months,"₹ 10,000-12,000 /month",UI/UX Design,Augmented Reality
B2B Sales,Rydeu Logistics UG,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month",Embedded Systems,Space Tech
Video Editing,Sprite Genix,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Data Analysis,Cybersecurity
Graphic Design,"Constructive Solutions, Inc.",Work From Home,Immediately,6 Months,"₹ 6,000 /month",Java,IoT
Product Management,LightVue,Rishikesh,Immediately,6 Months,"₹ 8,000-12,000 /month",C++,Game Development
Human Resources (HR),Web Design Media,Jaipur,Immediately,6 Months,"₹ 5,000 /month",Embedded Systems,Game Development
Business Development (Sales),Outreacherz,Work From Home,Immediately,6 Months,"₹ 5,000 /month",Machine Learning,Data Science
Growth Hacking,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,6 Months,"₹ 4,000 /month",Web Development,IoT
Young CEO Curriculum Innovation,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,6 Months,"₹ 2,000 /month",Java,Data Science
Applied Psychology,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,6 Months,"₹ 2,000 /month",Web Development,Robotics
UX/UI Design,Raecroot Talent Search Solutions Private Limited,Pune,Immediately,6 Months,"₹ 5,000 /month",Python,Space Tech
Graphic Design,Tronin',Work From Home,Immediately,6 Months,"₹ 5,000-10,000 /month",Data Analysis,Blockchain
Video Making/Editing,KalaSparsh Entertainment,Pune,Immediately,6 Months,"₹ 5,000 /month +  Incentives",Cloud Computing,Robotics
Python (Django) Development,CyberHawkz,Work From Home,Immediately,6 Months,"₹ 3,000-7,000 /month",Python,Game Development
Social Media Marketing,Photon WebWorks,Lucknow,Immediately,6 Months,"₹ 8,000-12,000 /month",Data Analysis,Space Tech
Business Development (Sports),Primeshift,Work From Home,Immediately,6 Months,"₹ 10,000 /month",Database Management,Data Science
Search Engine Optimization (SEO),Dotmappers It Pvt Lmt,Bangalore,Immediately,6 Months,"₹ 5,000 /month",Python,Game Development
Electrical Engineering,Vaidarbhi Foods,Work From Home,Immediately,6 Months,₹ 500 lump sum,Networking,Web 3.0
Training Coordination,UpGrad For Business,Mumbai,Immediately,6 Months,"₹ 12,000 /month",UI/UX Design,Game Development
Human Resources (HR),Institute Of Management Studies Noida,Noida,Immediately,6 Months,"₹ 25,000 /month",Java,Open Source
Equity Research,Fairdeal Petrochemical,Mumbai,Immediately,6 Months,"₹ 5,000 /month",Cloud Computing,Game Development
Flutter Mobile App Development,Beanstalkedu Services Private Limited,Work From Home,Immediately,6 Months,"₹ 15,000 /month",Embedded Systems,Blockchain
Digital Marketing,Be And Make - Be The Change And Make The Change,Work From Home,Immediately,6 Months,Unpaid,Embedded Systems,Open Source
Medical Licensing Exams Blog Writing,CoachMinister,Work From Home,Immediately,6 Months,"₹ 3,000 /month +  Incentives",Python,Data Science
Technical Content Writing,AMPM Electrical,Work From Home,Immediately,6 Months,"₹ 1,500-4,000 /month",Web Development,Robotics
Web Development,Daily Tech Suggest,Work From Home,Immediately,6 Months,"₹ 1,500-4,000 /month",Database Management,Space Tech
Interior Design,Aman Agrawal Design,Raipur,Immediately,6 Months,"₹ 3,000 /month",Machine Learning,Quantum Computing
Video Creation,Parisai Consulting Private Limited,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month",Java,Blockchain
Content Writing,Cuteporium,Work From Home,Immediately,6 Months,"₹ 7,000 /month +  Incentives",UI/UX Design,Cybersecurity
Business Development (Sales),Upwegro Technologies Private Limited,Tirupati,Immediately,6 Months,"₹ 7,000-12,000 /month",Networking,Blockchain
Customers Management,Chaperone Plants,Work From Home,Immediately,6 Months,"₹ 3,000 /month",Java,Robotics
Social Media Marketing,Webtactic,Mumbai,Immediately,6 Months,"₹ 5,000 /month",Cybersecurity,Web 3.0
Content Writing & Creation,Hilt Brands India Private Limited,Bangalore,Immediately,6 Months,"₹ 9,000 /month +  Incentives",Machine Learning,Cybersecurity
Content Writing,Unipng,Work From Home,Immediately,6 Months,"₹ 1,000 /month",Cybersecurity,Data Science
Academic Content Development (English Grammar & Science),Vedethic Technologies Private Limited,Work From Home,Immediately,6 Months,"₹ 1,000-2,000 /month",Web Development,Quantum Computing
Cold Calling,Catering Clap,Jaipur,Immediately,3 Months,"₹ 10,000 /month",UI/UX Design,Blockchain
Graphic Design,Winspire Staffing & HR Services,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Java,Web 3.0
Graphic Design,Wydescape Consulting Private Limited,Mumbai,Immediately,3 Months,"₹ 3,500-10,000 /month",Cloud Computing,Augmented Reality
Business Development (Sales),Squareaero Technologies,Mohali,Immediately,3 Months,"₹ 5,000-8,000 /month",Java,Open Source
Telecalling (Sales),DPGINTECH,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Database Management,Open Source
Human Resources (HR),CentoTech Services Private Limited,Hyderabad,Immediately,3 Months,"₹ 5,000 /month",Networking,Space Tech
E-Commerce Sales,MANGALGANGA VENTURES PRIVATE LIMITED,Work From Home,Immediately,3 Months,"₹ 7,000-9,000 /month",Database Management,Augmented Reality
Thumbnail Making,Team Car Delight,Work From Home,Immediately,3 Months,"₹ 9,000-12,000 /month",Database Management,Game Development
Digital Marketing,My Language Hut,Ghaziabad,Immediately,3 Months,"₹ 10,000 /month",Python,AI
Gaming Video Editing,ArsTiC Plays,Work From Home,Immediately,3 Months,"₹ 1,000-1,200 /month",Web Development,Space Tech
Instagram Page Management,Grabby Needs,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Cloud Computing,Open Source
Graphic Design,Future Crime Research Foundation,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Data Analysis,Cybersecurity
Multimedia Graphic Design,ThinkWhy,Ahmedabad,Immediately,3 Months,"₹ 15,000 /month",Python,Cybersecurity
Account Management,Gozoop Online Private Limited,Mumbai,Immediately,3 Months,"₹ 8,000 /month",Cloud Computing,Robotics
Product Marketing,Webmobi,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Embedded Systems,Game Development
Digital Marketing,Traffic Tail,Delhi,Immediately,3 Months,"₹ 5,000-8,000 /month",Machine Learning,AI
Content Writing,Traffic Tail Technologies Private Limited,Work From Home,Immediately,3 Months,"₹ 6,000 /month",Python,Augmented Reality
React Native Development,BetX,Work From Home,Immediately,3 Months,"₹ 4,000 /month",Data Analysis,Blockchain
Digital Marketing,Cyber Infrastructure Private Limited,Indore,Immediately,3 Months,"₹ 10,000 /month",Machine Learning,Space Tech
Human Resources (HR),Phenom Placement,Work From Home,Immediately,3 Months,"₹ 4,000 /month",Database Management,Blockchain
Recruitment,GetSetResumes.com,Work From Home,Immediately,3 Months,"₹ 5,000-7,000 /month",Cloud Computing,Augmented Reality
Cafe Management,Panda On Diet,Bangalore,Immediately,3 Months,"₹ 15,000 /month",UI/UX Design,Space Tech
Social Media Marketing,Edzer Education Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Machine Learning,IoT
Baking,Alippo,Bangalore,Immediately,3 Months,"₹ 20,000-25,000 /month",Web Development,Web 3.0
Non IT Recruitment,FyndBridge Consulting Services,Work From Home,Immediately,3 Months,"₹ 3,000-5,000 /month",C++,Web 3.0
HR Operations,Innoplexus Consulting Services Private Limited,Pune,Immediately,3 Months,"₹ 11,000 /month",Python,Space Tech
Social Media Marketing,Coffee Table Science,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Cybersecurity,Cybersecurity
Python Development,Zedblock Private Limited,Work From Home,Immediately,3 Months,"₹ 5,000-8,000 /month",Java,Cybersecurity
Motion Graphics,Meraki Incorporation,Work From Home,Immediately,3 Months,"₹ 5,000-8,000 /month",Data Analysis,Open Source
IT Recruitment,Cloud10 Technologies,Work From Home,Immediately,3 Months,"₹ 1,000-2,500 /month",Embedded Systems,Quantum Computing
Recruitment,Zifcare,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Web Development,Game Development
Videography,Macarius Digitech,Mumbai,Immediately,3 Months,"₹ 10,000 /month",Web Development,Quantum Computing
General Management,CloudFrnd,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Database Management,Robotics
Graphic Design,Mohit Sahu,Work From Home,Immediately,3 Months,"₹ 3,000-5,000 /month",Cloud Computing,Web 3.0
Agronomy,Vaarush Edu Technologies Private Limited,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Python,Augmented Reality
Content Writing,Mobile Gaming Hub,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Data Analysis,Space Tech
Graphic Design,Counselling Suite,Work From Home,Immediately,3 Months,"₹ 3,000-4,000 /week",Data Analysis,IoT
Social Media Marketing,Anomalous,Mumbai,Immediately,3 Months,"₹ 12,000-15,000 /month",Python,Space Tech
Digital Marketing,International Travel And Tour Co.,Mumbai,Immediately,3 Months,"₹ 6,000 /month",Data Analysis,Robotics
Content Creation,Swipe,Work From Home,Immediately,3 Months,"₹ 5,000-10,000 /month",Web Development,Open Source
Cameraman,True Hunt,Mumbai,Immediately,3 Months,"₹ 3,500-4,000 /month",Cloud Computing,Augmented Reality
Marketing,AG Enterprises,Work From Home,Immediately,3 Months,"₹ 2,000-2,500 /month",Machine Learning,Blockchain
